Year,Month,Day,Hour_UTC,Position_Latitude_S,Position_Longitude_E,Position_Accuracy_km,Max_Wind_10min_kmh,Max_Gust_kmh,Central_Pressure_hPa,Approx_Radius_Gales_km,Approx_Radius_Storm_Force_km,Approx_Radius_Hurricane_km,Radius_Max_Wind_km
2007,3,5,00,14.5,125.5,18.5,55.6,83.3,990,,,,33.3
2007,3,5,06,14.5,124.9,27.8,74.1,101.9,982,79.6,,,33.3
2007,3,5,12,14.5,124.1,37.0,83.3,120.4,980,101.9,,,29.6
2007,3,5,18,14.5,123.2,55.6,92.6,129.6,976,111.1,27.8,,27.8
2007,3,6,00,14.5,122.4,55.6,92.6,129.6,976,111.1,27.8,,27.8
2007,3,6,06,14.5,121.6,55.6,92.6,129.6,974,120.4,27.8,,27.8
2007,3,6,12,14.6,120.9,55.6,83.3,120.4,978,135.2,,,27.8
2007,3,6,18,14.9,120.2,27.8,83.3,120.4,978,144.5,,,27.8
2007,3,7,00,15.0,119.6,27.8,92.6,129.6,974,157.4,51.9,,27.8
2007,3,7,06,15.4,119.3,27.8,111.1,157.4,964,172.2,64.8,46.3,27.8
2007,3,7,12,16.1,119.3,27.8,129.6,185.2,956,194.5,92.6,55.6,27.8
2007,3,7,18,16.8,119.3,27.8,138.9,194.5,952,203.7,92.6,55.6,25.9
2007,3,8,00,17.7,119.3,18.5,166.7,231.5,930,209.3,92.6,55.6,22.2
2007,3,8,03,18.3,119.2,9.3,166.7,231.5,930,200.0,107.4,55.6,20.4
2007,3,8,06,18.8,119.0,9.3,175.9,250.0,924,185.2,111.1,53.7,18.5
2007,3,8,09,19.3,119.1,9.3,194.5,277.8,910,175.9,109.3,53.7,16.7
2007,3,8,12,19.9,119.1,9.3,203.7,287.1,902,172.2,103.7,42.6,18.5
2007,3,8,15,20.4,119.0,9.3,175.9,250.0,916,172.2,90.7,42.6,18.5
2007,3,8,18,20.9,118.8,9.3,138.9,194.5,940,157.4,81.5,35.2,22.2
2007,3,8,21,21.3,118.9,18.5,120.4,166.7,950,157.4,63.0,,22.2
2007,3,9,00,21.6,119.0,27.8,101.9,138.9,960,148.2,55.6,,25.9
2007,3,9,03,21.9,119.2,27.8,92.6,129.6,964,138.9,55.6,,25.9
2007,3,9,06,22.1,119.5,27.8,83.3,120.4,966,129.6,,,29.6
2007,3,9,12,22.6,120.4,46.3,74.1,101.9,976,64.8,,,29.6
2007,3,9,18,23.1,121.0,55.6,64.8,92.6,980,46.3,,,29.6
2007,3,10,00,23.6,121.7,55.6,55.6,83.3,982,,,,29.6
2007,3,10,06,24.0,122.0,55.6,55.6,83.3,982,,,,29.6
2007,3,10,12,24.4,122.3,74.1,55.6,83.3,986,,,,29.6
2007,3,10,18,24.9,122.9,92.6,55.6,83.3,988,,,,29.6
2007,3,11,00,25.2,123.6,111.1,46.3,74.1,990,,,,33.3
2007,3,11,06,25.6,124.2,111.1,46.3,74.1,992,,,,33.3
2007,3,11,12,25.9,124.6,111.1,46.3,74.1,994,,,,33.3
2007,3,11,18,26.2,125.0,111.1,46.3,74.1,996,,,,33.3
2007,3,12,00,27.0,124.2,83.3,37.0,55.6,1000,,,,33.3
2007,3,12,06,27.4,124.4,83.3,37.0,55.6,1000,,,,33.3
