Date (UTC),Time (UTC),Latitude (°S),Longitude (°E),Central Pressure (hPa),BOM Category (10-min),"Max Sustained Wind (knots, 10-min)","Peak Gust (knots, 10-min)","Max Sustained Wind (km/h, 10-min)","Peak Gust (km/h, 10-min)"
5/03/2007,0:00,14.5,125.5,990,TD,30,45,56,83
5/03/2007,6:00,14.5,124.9,982,1,40,55,74,102
5/03/2007,12:00,14.5,124.1,980,1,45,65,83,120
5/03/2007,18:00,14.5,123.2,976,1,50,70,93,130
6/03/2007,0:00,14.5,122.4,976,1,50,70,93,130
6/03/2007,6:00,14.5,121.6,974,1,50,70,93,130
6/03/2007,12:00,14.6,120.9,978,1,45,65,83,120
6/03/2007,18:00,14.9,120.2,978,1,45,65,83,120
7/03/2007,0:00,15,119.6,974,1,50,70,93,130
7/03/2007,6:00,15.4,119.3,964,2,60,85,111,157
7/03/2007,12:00,16.1,119.3,956,3,70,100,130,185
7/03/2007,18:00,16.8,119.3,952,3,75,105,139,194
8/03/2007,0:00,17.7,119.3,930,4,90,125,167,231
8/03/2007,3:00,18.3,119.2,930,4,90,125,167,231
8/03/2007,6:00,18.8,119,924,4,95,135,176,250
8/03/2007,9:00,19.3,119.1,910,5,105,150,194,278
8/03/2007,12:00,19.9,119.1,902,5,110,155,204,287
8/03/2007,15:00,20.4,119,916,4,95,135,176,250
8/03/2007,18:00,20.9,118.8,940,3,75,105,139,194
8/03/2007,21:00,21.3,118.9,950,3,65,90,120,167
9/03/2007,0:00,21.6,119,960,2,55,75,102,139
9/03/2007,3:00,21.9,119.2,964,1,50,70,93,130
9/03/2007,6:00,22.1,119.5,966,1,45,65,83,120
9/03/2007,12:00,22.6,120.4,976,1,40,55,74,102
9/03/2007,18:00,23.1,121,980,TD,35,50,65,93
10/03/2007,0:00,23.6,121.7,982,TD,30,45,56,83
10/03/2007,6:00,24,122,982,TD,30,45,56,83
10/03/2007,12:00,24.4,122.3,986,TD,30,45,56,83
10/03/2007,18:00,24.9,122.9,988,TD,25,40,46,74
11/03/2007,0:00,25.2,123.6,990,TD,25,40,46,74
11/03/2007,6:00,25.6,124.2,992,TD,25,40,46,74
11/03/2007,12:00,25.9,124.6,994,TD,25,40,46,74
11/03/2007,18:00,26.2,125,996,Low,20,30,37,56
12/03/2007,0:00,27,124.2,1000,Low,20,30,37,56
12/03/2007,6:00,27.4,124.4,1000,Low,20,30,37,56
