Year,Term,Week Number,Start Date (Monday),End Date (Friday)
2026,Term 1,Week 1,2026-02-02,2026-02-06
2026,Term 1,Week 2,2026-02-09,2026-02-13
2026,Term 1,Week 3,2026-02-16,2026-02-20
2026,Term 1,Week 4,2026-02-23,2026-02-27
2026,Term 1,Week 5,2026-03-02,2026-03-06
2026,Term 1,Week 6,2026-03-09,2026-03-13
2026,Term 1,Week 7,2026-03-16,2026-03-20
2026,Term 1,Week 8,2026-03-23,2026-03-27
2026,Term 1,Week 9,2026-03-30,2026-04-03
2026,Term 2,Week 1,2026-04-20,2026-04-24
2026,Term 2,Week 2,2026-04-27,2026-05-01
2026,Term 2,Week 3,2026-05-04,2026-05-08
2026,Term 2,Week 4,2026-05-11,2026-05-15
2026,Term 2,Week 5,2026-05-18,2026-05-22
2026,Term 2,Week 6,2026-05-25,2026-05-29
2026,Term 2,Week 7,2026-06-01,2026-06-05
2026,Term 2,Week 8,2026-06-08,2026-06-12
2026,Term 2,Week 9,2026-06-15,2026-06-19
2026,Term 2,Week 10,2026-06-22,2026-06-26
2026,Term 3,Week 1,2026-07-13,2026-07-17
2026,Term 3,Week 2,2026-07-20,2026-07-24
2026,Term 3,Week 3,2026-07-27,2026-07-31
2026,Term 3,Week 4,2026-08-03,2026-08-07
2026,Term 3,Week 5,2026-08-10,2026-08-14
2026,Term 3,Week 6,2026-08-17,2026-08-21
2026,Term 3,Week 7,2026-08-24,2026-08-28
2026,Term 3,Week 8,2026-08-31,2026-09-04
2026,Term 3,Week 9,2026-09-07,2026-09-11
2026,Term 3,Week 10,2026-09-14,2026-09-18
2026,Term 4,Week 1,2026-10-12,2026-10-16
2026,Term 4,Week 2,2026-10-19,2026-10-23
2026,Term 4,Week 3,2026-10-26,2026-10-30
2026,Term 4,Week 4,2026-11-02,2026-11-06
2026,Term 4,Week 5,2026-11-09,2026-11-13
2026,Term 4,Week 6,2026-11-16,2026-11-20
2026,Term 4,Week 7,2026-11-23,2026-11-27
2026,Term 4,Week 8,2026-11-30,2026-12-04
2026,Term 4,Week 9,2026-12-07,2026-12-11
2027,Term 1,Week 1,2027-02-01,2027-02-05
2027,Term 1,Week 2,2027-02-08,2027-02-12
2027,Term 1,Week 3,2027-02-15,2027-02-19
2027,Term 1,Week 4,2027-02-22,2027-02-26
2027,Term 1,Week 5,2027-03-01,2027-03-05
2027,Term 1,Week 6,2027-03-08,2027-03-12
2027,Term 1,Week 7,2027-03-15,2027-03-19
2027,Term 1,Week 8,2027-03-22,2027-03-26
2027,Term 2,Week 1,2027-04-12,2027-04-16
2027,Term 2,Week 2,2027-04-19,2027-04-23
2027,Term 2,Week 3,2027-04-26,2027-04-30
2027,Term 2,Week 4,2027-05-03,2027-05-07
2027,Term 2,Week 5,2027-05-10,2027-05-14
2027,Term 2,Week 6,2027-05-17,2027-05-21
2027,Term 2,Week 7,2027-05-24,2027-05-28
2027,Term 2,Week 8,2027-05-31,2027-06-04
2027,Term 2,Week 9,2027-06-07,2027-06-11
2027,Term 2,Week 10,2027-06-14,2027-06-18
2027,Term 2,Week 11,2027-06-21,2027-06-25
2027,Term 3,Week 1,2027-07-12,2027-07-16
2027,Term 3,Week 2,2027-07-19,2027-07-23
2027,Term 3,Week 3,2027-07-26,2027-07-30
2027,Term 3,Week 4,2027-08-02,2027-08-06
2027,Term 3,Week 5,2027-08-09,2027-08-13
2027,Term 3,Week 6,2027-08-16,2027-08-20
2027,Term 3,Week 7,2027-08-23,2027-08-27
2027,Term 3,Week 8,2027-08-30,2027-09-03
2027,Term 3,Week 9,2027-09-06,2027-09-10
2027,Term 3,Week 10,2027-09-13,2027-09-17
2027,Term 4,Week 1,2027-10-11,2027-10-15
2027,Term 4,Week 2,2027-10-18,2027-10-22
2027,Term 4,Week 3,2027-10-25,2027-10-29
2027,Term 4,Week 4,2027-11-01,2027-11-05
2027,Term 4,Week 5,2027-11-08,2027-11-12
2027,Term 4,Week 6,2027-11-15,2027-11-19
2027,Term 4,Week 7,2027-11-22,2027-11-26
2027,Term 4,Week 8,2027-11-29,2027-12-03
2027,Term 4,Week 9,2027-12-06,2027-12-10
2028,Term 1,Week 1,2028-01-24,2028-01-28
2028,Term 1,Week 2,2028-01-31,2028-02-04
2028,Term 1,Week 3,2028-02-07,2028-02-11
2028,Term 1,Week 4,2028-02-14,2028-02-18
2028,Term 1,Week 5,2028-02-21,2028-02-25
2028,Term 1,Week 6,2028-02-28,2028-03-03
2028,Term 1,Week 7,2028-03-06,2028-03-10
2028,Term 1,Week 8,2028-03-13,2028-03-17
2028,Term 1,Week 9,2028-03-20,2028-03-24
2028,Term 1,Week 10,2028-03-27,2028-03-31
2028,Term 2,Week 1,2028-04-24,2028-04-28
2028,Term 2,Week 2,2028-05-01,2028-05-05
2028,Term 2,Week 3,2028-05-08,2028-05-12
2028,Term 2,Week 4,2028-05-15,2028-05-19
2028,Term 2,Week 5,2028-05-22,2028-05-26
2028,Term 2,Week 6,2028-05-29,2028-06-02
2028,Term 2,Week 7,2028-06-05,2028-06-09
2028,Term 2,Week 8,2028-06-12,2028-06-16
2028,Term 2,Week 9,2028-06-19,2028-06-23
2028,Term 3,Week 1,2028-07-10,2028-07-14
2028,Term 3,Week 2,2028-07-17,2028-07-21
2028,Term 3,Week 3,2028-07-24,2028-07-28
2028,Term 3,Week 4,2028-07-31,2028-08-04
2028,Term 3,Week 5,2028-08-07,2028-08-11
2028,Term 3,Week 6,2028-08-14,2028-08-18
2028,Term 3,Week 7,2028-08-21,2028-08-25
2028,Term 3,Week 8,2028-08-28,2028-09-01
2028,Term 3,Week 9,2028-09-04,2028-09-08
2028,Term 3,Week 10,2028-09-11,2028-09-15
2028,Term 4,Week 1,2028-10-09,2028-10-13
2028,Term 4,Week 2,2028-10-16,2028-10-20
2028,Term 4,Week 3,2028-10-23,2028-10-27
2028,Term 4,Week 4,2028-10-30,2028-11-03
2028,Term 4,Week 5,2028-11-06,2028-11-10
2028,Term 4,Week 6,2028-11-13,2028-11-17
2028,Term 4,Week 7,2028-11-20,2028-11-24
2028,Term 4,Week 8,2028-11-27,2028-12-01
2028,Term 4,Week 9,2028-12-04,2028-12-08
